,id,status,visit_datetime,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,bw_filled
5270,3B004CDB63,Arrive,2025-02-07 08:20:45.680547,2025-02-07 08:20:47.296,25-2025-02-07,0.09367942386837581,0.46554510880319777,0.37697284094773753,0.008793294670626343,0.031,0.3732635115719742,-0.26265583331044595,0.029,0.059,0.0037071987717477604,0.05,bluti,M,5,1
5271,3B004CDB63,Depart,2025-02-07 08:20:48.692266,2025-02-07 08:20:47.296,25-2025-02-07,0.0936794238683758,0.46554510880319777,0.37697284094773753,0.008793294670626343,0.031,0.3732635115719742,-0.26265583331044595,0.029,0.059,0.0037071987717477604,0.05,bluti,M,5,1
5272,3B0019B8CC,Arrive,2025-02-07 08:22:16.002755,2025-02-07 08:22:17.296,26-2025-02-07,0.15995973146986905,0.862875835473162,0.5122191365010311,0.04189542948072899,0.545,0.5122191365010311,-0.6806508709526728,0.545,0.11,0.053064907240176616,0.517,greti,F,5,1
5273,3B0019B8CC,Depart,2025-02-07 08:22:19.018669,2025-02-07 08:22:17.296,26-2025-02-07,0.15995973146986905,0.862875835473162,0.5122191365010311,0.04189542948072899,0.545,0.5122191365010311,-0.6806508709526728,0.545,0.11,0.053064907240176616,0.517,greti,F,5,1
5274,3B004C0894,Arrive,2025-02-07 08:27:52.810994,2025-02-07 08:27:54.291,27-2025-02-07,0.09477589962267394,0.49692961148034637,0.40633811438139644,0.013673365635047138,0.53,0.4058697933386475,-0.23890789580607655,0.529,0.185,0.022659664496691413,0.107,bluti,F,5,0
5275,3B004C0894,Depart,2025-02-07 08:27:56.222806,2025-02-07 08:27:54.291,27-2025-02-07,0.09477589962267394,0.49692961148034637,0.40633811438139644,0.013673365635047138,0.53,0.4058697933386475,-0.23890789580607655,0.529,0.185,0.022659664496691413,0.107,bluti,F,5,0
5276,3B0018C2F6,Arrive,2025-02-07 08:28:09.021487,2025-02-07 08:28:10.293,28-2025-02-07,0.11588041855816095,1.0058976221789293,0.7135577895749865,0.06297282549776025,1.668,0.6955520170237712,-0.6561585534628637,1.664,1.388,0.029116279989241857,1.567,greti,F,6,0
5277,3B0018C2F6,Depart,2025-02-07 08:28:11.431139,2025-02-07 08:28:10.293,28-2025-02-07,0.11588041855816095,1.0058976221789293,0.7135577895749865,0.06297282549776025,1.668,0.6955520170237712,-0.6561585534628637,1.664,1.388,0.029116279989241857,1.567,greti,F,6,0
5278,3B004CA42C,Arrive,2025-02-07 08:29:15.398957,2025-02-07 08:29:17.291,29-2025-02-07,0.10509659734761481,0.1335976892120829,0.04668653214306571,0.016636394896924242,1.0,-0.13297925191186244,-0.00018771265742267967,0.974,0.974,0.024385331462487177,0.955,bluti,F,6,1
5279,3B004CA42C,Depart,2025-02-07 08:29:19.820330,2025-02-07 08:29:17.291,29-2025-02-07,0.1050965973476148,0.1335976892120829,0.04668653214306571,0.016636394896924242,1.0,-0.13297925191186244,-0.00018771265742267967,0.974,0.974,0.024385331462487177,0.955,bluti,F,6,1
5280,3B004CDB63,Arrive,2025-02-07 08:30:10.809147,2025-02-07 08:30:12.291,30-2025-02-07,0.09367942386837581,0.5074306706573778,0.3841418032786863,0.004704310582063238,0.196,0.3832421308689427,-0.28421739717882716,0.195,0.226,0.00533905500343581,0.067,bluti,M,5,1
5281,3B004CDB63,Depart,2025-02-07 08:30:13.821351,2025-02-07 08:30:12.291,30-2025-02-07,0.0936794238683758,0.5074306706573778,0.3841418032786863,0.004704310582063238,0.196,0.3832421308689427,-0.28421739717882716,0.195,0.226,0.00533905500343581,0.067,bluti,M,5,1
5282,3B004C0894,Arrive,2025-02-07 08:31:29.461586,2025-02-07 08:31:31.290,31-2025-02-07,0.11476217598229806,0.09951803990425404,0.09582088531883068,0.03256706090244427,0.47,0.09582088531883068,0.020265910869839424,0.47,1.8,0.024250449690611013,1.815,bluti,F,5,1
5283,3B004C0894,Depart,2025-02-07 08:31:34.483804,2025-02-07 08:31:31.290,31-2025-02-07,0.11476217598229806,0.09951803990425404,0.09582088531883068,0.03256706090244427,0.47,0.09582088531883068,0.020265910869839424,0.47,1.8,0.024250449690611013,1.815,bluti,F,5,1
5284,3B001816CC,Arrive,2025-02-07 08:33:14.724275,2025-02-07 08:33:16.290,32-2025-02-07,0.09806754757684241,0.39788483371549693,0.3275923515398525,0.027764714735004414,0.197,0.31814605385217476,-0.230495489711468,0.192,0.081,0.06565933945380222,0.193,bluti,F,6,1
5285,3B001816CC,Depart,2025-02-07 08:33:17.938568,2025-02-07 08:33:16.290,32-2025-02-07,0.09806754757684243,0.39788483371549693,0.3275923515398525,0.027764714735004414,0.197,0.31814605385217476,-0.230495489711468,0.192,0.081,0.06565933945380222,0.193,bluti,F,6,1
5286,3B0018C2F6,Arrive,2025-02-07 08:36:35.332041,2025-02-07 08:36:36.288,33-2025-02-07,0.11901050339618223,0.9462876698153815,0.6469610715679193,0.02756466387549979,0.637,0.6050541417376063,-0.7055329585045937,0.631,0.666,0.040169848907954275,0.001,greti,F,6,0
5287,3B0018C2F6,Depart,2025-02-07 08:36:38.345713,2025-02-07 08:36:36.288,33-2025-02-07,0.11901050339618223,0.9462876698153815,0.6469610715679193,0.02756466387549979,0.637,0.6050541417376063,-0.7055329585045937,0.631,0.666,0.040169848907954275,0.001,greti,F,6,0
5288,3B004CDB63,Arrive,2025-02-07 08:36:53.641294,2025-02-07 08:36:55.288,34-2025-02-07,0.09367942386837579,0.4920165530556623,0.36500721270966047,0.018422554571850942,0.619,0.3606786039432434,-0.3199740776713118,0.617,0.112,0.005567928278753939,0.49,bluti,M,5,1
5289,3B004CDB63,Depart,2025-02-07 08:36:57.055176,2025-02-07 08:36:55.288,34-2025-02-07,0.09367942386837581,0.4920165530556623,0.36500721270966047,0.018422554571850942,0.619,0.3606786039432434,-0.3199740776713118,0.617,0.112,0.005567928278753939,0.49,bluti,M,5,1
5290,3B0018C2F6,Arrive,2025-02-07 08:41:56.809486,2025-02-07 08:41:58.287,35-2025-02-07,0.1571190912084223,0.9483695390978519,0.6781311501716547,0.0977192566462744,1.276,0.6734883889075741,-0.5899290093844703,1.274,0.357,0.0780232978632299,0.823,greti,F,6,1
5291,3B0018C2F6,Depart,2025-02-07 08:42:00.826595,2025-02-07 08:41:58.287,35-2025-02-07,0.15711909120842232,0.9483695390978519,0.6781311501716547,0.0977192566462744,1.276,0.6734883889075741,-0.5899290093844703,1.274,0.357,0.0780232978632299,0.823,greti,F,6,1
5292,3B0019B8CC,Arrive,2025-02-07 08:42:10.951254,2025-02-07 08:42:12.287,36-2025-02-07,0.15995973146986905,0.799665412931894,0.537096622152384,0.04636754197158217,2.547,0.5365544335496054,-0.589210749026929,2.546,1.451,0.06750681482979953,0.192,greti,F,5,1
5293,3B0019B8CC,Depart,2025-02-07 08:42:15.977356,2025-02-07 08:42:12.287,36-2025-02-07,0.15995973146986905,0.799665412931894,0.537096622152384,0.04636754197158217,2.547,0.5365544335496054,-0.589210749026929,2.546,1.451,0.06750681482979953,0.192,greti,F,5,1
5294,3B0018A99B,Arrive,2025-02-07 08:42:25.899818,2025-02-07 08:42:27.288,37-2025-02-07,0.08935610302089525,0.2670488693060611,0.22763707773099895,0.023474715276468782,2.134,0.22166828701624594,-0.12402737271614342,2.131,1.604,0.0914269102655023,2.138,bluti,M,5,0
5295,3B0018A99B,Depart,2025-02-07 08:42:30.516489,2025-02-07 08:42:27.288,37-2025-02-07,0.08935610302089525,0.2670488693060611,0.22763707773099895,0.023474715276468782,2.134,0.22166828701624594,-0.12402737271614342,2.131,1.604,0.0914269102655023,2.138,bluti,M,5,0
5296,3B004CEFFE,Arrive,2025-02-07 08:43:18.217180,2025-02-07 08:43:19.287,38-2025-02-07,0.09872957680444466,0.2474927205105832,0.19208908932105534,0.023373738451637777,0.912,0.1912806576165172,-0.13737354419488998,0.911,0.131,0.07649142845730197,0.913,bluti,F,5,1
5297,3B004CEFFE,Depart,2025-02-07 08:43:20.628668,2025-02-07 08:43:19.287,38-2025-02-07,0.09872957680444468,0.2474927205105832,0.19208908932105534,0.023373738451637777,0.912,0.1912806576165172,-0.13737354419488998,0.911,0.131,0.07649142845730197,0.913,bluti,F,5,1
5298,3B0019B8CC,Arrive,2025-02-07 08:43:26.129945,2025-02-07 08:43:27.286,39-2025-02-07,0.15995973146986905,0.9103618736396076,0.5213914375758971,0.04243559829019144,0.756,0.5213914375758971,-0.7422852620393743,0.756,0.056,0.06195054236240888,0.729,greti,F,5,1
5299,3B0019B8CC,Depart,2025-02-07 08:43:29.141753,2025-02-07 08:43:27.286,39-2025-02-07,0.15995973146986905,0.9103618736396076,0.5213914375758971,0.04243559829019144,0.756,0.5213914375758971,-0.7422852620393743,0.756,0.056,0.06195054236240888,0.729,greti,F,5,1
5300,3B0019B8CC,Arrive,2025-02-07 08:44:39.593123,2025-02-07 08:44:41.287,40-2025-02-07,0.15995973146986905,0.8924244308316801,0.5387035048619138,0.08193400944680648,0.919,0.5370709179301665,-0.6956237476024675,0.921,0.092,0.04798699548179691,0.204,greti,F,5,1
5301,3B0019B8CC,Depart,2025-02-07 08:44:43.207463,2025-02-07 08:44:41.287,40-2025-02-07,0.15995973146986905,0.8924244308316801,0.5387035048619138,0.08193400944680648,0.919,0.5370709179301665,-0.6956237476024675,0.921,0.092,0.04798699548179691,0.204,greti,F,5,1
5302,3B0049A710,Arrive,2025-02-07 08:44:52.797822,2025-02-07 08:44:54.287,41-2025-02-07,0.09291239251263943,0.5434162437854397,0.3884930292175696,0.036701159950898184,5.413,0.3884930292175696,-0.37712362622661144,5.413,3.451,0.05660169474550715,5.408,bluti,M,5,0
5303,3B004CEFFE,Arrive,2025-02-07 08:45:15.374187,2025-02-07 08:45:16.287,42-2025-02-07,0.09872957680444468,0.46903471094162585,0.37336424130728946,0.02723755211491147,1.287,0.3715072512126207,-0.28299511930586024,1.286,0.717,0.019103206925029405,0.361,bluti,F,5,1
5304,3B004CEFFE,Depart,2025-02-07 08:45:18.586488,2025-02-07 08:45:16.287,42-2025-02-07,0.09872957680444468,0.46903471094162585,0.37336424130728946,0.02723755211491147,1.287,0.3715072512126207,-0.28299511930586024,1.286,0.717,0.019103206925029405,0.361,bluti,F,5,1
5305,3B0018C2F6,Arrive,2025-02-07 08:46:15.958376,2025-02-07 08:46:17.287,43-2025-02-07,0.15711909120842232,0.9629307063878286,0.5950694499415881,0.02665811458405988,0.908,0.5710968202029814,-0.7038932694482692,0.904,0.371,0.01907570230428198,0.869,greti,F,6,1
5306,3B0018C2F6,Depart,2025-02-07 08:46:19.576332,2025-02-07 08:46:17.287,43-2025-02-07,0.15711909120842232,0.9629307063878286,0.5950694499415881,0.02665811458405988,0.908,0.5710968202029814,-0.7038932694482692,0.904,0.371,0.01907570230428198,0.869,greti,F,6,1
5307,3B0049A710,Arrive,2025-02-07 08:46:20.664469,2025-02-07 08:46:22.287,44-2025-02-07,0.10984098089158925,0.20027668438745164,0.06630925876651299,0.012308791264334913,4.0,-0.19771971584410122,-0.03155387557341026,3.971,3.968,0.022572755316225775,3.986,bluti,M,5,1
5308,3B0018C2F6,Arrive,2025-02-07 08:46:42.354097,2025-02-07 08:46:43.286,45-2025-02-07,0.10701128250232983,0.8825781212000952,0.5878432467633465,0.09319530689513011,1.876,0.5857682053833602,-0.5960727494159211,1.875,1.503,0.03149760895312354,1.558,greti,F,6,0
5309,3B0018C2F6,Depart,2025-02-07 08:46:46.169668,2025-02-07 08:46:43.286,45-2025-02-07,0.10701128250232983,0.8825781212000952,0.5878432467633465,0.09319530689513011,1.876,0.5857682053833602,-0.5960727494159211,1.875,1.503,0.03149760895312354,1.558,greti,F,6,0
5310,3B0018C2F6,Arrive,2025-02-07 08:47:34.910547,2025-02-07 08:47:35.287,46-2025-02-07,0.15711909120842232,0.8600314173624818,0.5853131341494082,0.08090305870774099,1.289,0.5795553027273016,-0.579981952561426,1.287,0.409,0.057473458091353374,0.504,greti,F,6,1
5311,3B0018C2F6,Depart,2025-02-07 08:47:37.923120,2025-02-07 08:47:35.287,46-2025-02-07,0.15711909120842235,0.8600314173624818,0.5853131341494082,0.08090305870774099,1.289,0.5795553027273016,-0.579981952561426,1.287,0.409,0.057473458091353374,0.504,greti,F,6,1
5312,3B0049A710,Arrive,2025-02-07 08:47:41.297765,2025-02-07 08:47:42.287,47-2025-02-07,0.2807231737639807,0.3368977178638572,0.13467927106342248,0.28258294108487125,1.411,-0.2311000941504357,0.2449119064028832,1.968,1.142,0.035152227162860705,1.363,bluti,M,5,0
5313,3B0049A710,Depart,2025-02-07 08:47:45.112297,2025-02-07 08:47:42.287,47-2025-02-07,0.2807231737639807,0.3368977178638572,0.13467927106342248,0.28258294108487125,1.411,-0.2311000941504357,0.2449119064028832,1.968,1.142,0.035152227162860705,1.363,bluti,M,5,0
5314,3B004CDB63,Arrive,2025-02-07 08:50:34.287412,2025-02-07 08:50:35.286,48-2025-02-07,0.09367942386837581,0.5019073541391349,0.3962372214813389,0.030917145709238224,0.728,0.39098876327121046,-0.28628398447930514,0.726,0.31,0.018577403668631993,0.183,bluti,M,5,1
5315,3B004CDB63,Depart,2025-02-07 08:50:37.299519,2025-02-07 08:50:35.286,48-2025-02-07,0.0936794238683758,0.5019073541391349,0.3962372214813389,0.030917145709238224,0.728,0.39098876327121046,-0.28628398447930514,0.726,0.31,0.018577403668631993,0.183,bluti,M,5,1
5316,01101763D0,Arrive,2025-02-07 08:53:13.457268,2025-02-07 08:53:13.286,49-2025-02-07,0.13992678749353277,0.8597445584219148,0.6795718460675129,0.04606461662379766,2.563,0.6714444169187288,-0.5167383268560547,2.561,0.127,0.06323773477184075,1.938,greti,M,6,0
5317,01101763D0,Depart,2025-02-07 08:53:16.269265,2025-02-07 08:53:13.286,49-2025-02-07,0.13992678749353277,0.8597445584219148,0.6795718460675129,0.04606461662379766,2.563,0.6714444169187288,-0.5167383268560547,2.561,0.127,0.06323773477184075,1.938,greti,M,6,0
5318,3B00484043,Arrive,2025-02-07 08:59:44.518550,2025-02-07 08:59:46.286,50-2025-02-07,0.09331075425978677,0.48937179456759,0.3668991382772461,0.019727928393155403,0.687,0.3455475340218136,-0.3413740134111113,0.682,0.091,0.10804445629745589,0.676,bluti,F,5,1
5319,3B00484043,Depart,2025-02-07 08:59:46.928886,2025-02-07 08:59:46.286,50-2025-02-07,0.09331075425978679,0.48937179456759,0.3668991382772461,0.019727928393155403,0.687,0.3455475340218136,-0.3413740134111113,0.682,0.091,0.10804445629745589,0.676,bluti,F,5,1
5320,3B00182DFC,Arrive,2025-02-07 09:00:31.732553,2025-02-07 09:00:33.286,51-2025-02-07,0.14172754320487208,0.5341626434907001,0.3414802068679607,0.028950680124371152,0.642,0.3407456828303621,-0.40789513780182707,0.641,0.147,0.02365451622596862,0.613,bluti,F,6,1
5321,3B00182DFC,Depart,2025-02-07 09:00:35.149661,2025-02-07 09:00:33.286,51-2025-02-07,0.14172754320487208,0.5341626434907001,0.3414802068679607,0.028950680124371152,0.642,0.3407456828303621,-0.40789513780182707,0.641,0.147,0.02365451622596862,0.613,bluti,F,6,1
5322,3B004AB6A7,Arrive,2025-02-07 09:01:47.260392,2025-02-07 09:01:48.285,52-2025-02-07,0.10258638518469289,0.07738396603504061,0.03866995151781775,0.030148391795530503,2.342,-0.03138020600009479,-0.07073446819920093,0.088,2.284,0.011884366486299737,2.366,bluti,M,5,1
