,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,exp_order,prev_scares,bw_filled
38,3B0018C6F9,not first visit,2024-12-12 09:32:51.918323,control,nah,0.0,2024-12-12,2024-12-12 09:32:53.738,74-2024-12-12,0.0987089112257854,0.6535413939480766,0.41480353747207965,0.03212622482235616,2.482,0.4129037982690457,-0.5026976571772312,2.481,2.054,0.033940964890572745,2.452,bluti,M,6,1,0.0,0
39,3B00192E1E,not first visit,2024-12-12 09:33:01.460062,control,nah,0.0,2024-12-12,2024-12-12 09:33:02.739,75-2024-12-12,0.09654859154309367,0.41932339936048885,0.33347048952022407,0.01600657867877483,0.609,0.3285781533138099,-0.2504706970290204,0.606,0.178,0.07756423928738303,0.605,bluti,M,6,1,0.0,0
40,3B004CD4DE,not first visit,2024-12-12 09:44:34.410359,control,nah,0.0,2024-12-12,2024-12-12 09:44:34.692,83-2024-12-12,0.1003986183690209,0.5431188875213329,0.438636420012245,0.03999529124238496,1.885,0.4306762121441107,-0.3080705910908253,1.882,1.462,0.01616720497071399,0.779,bluti,M,5,1,0.0,1
41,3B004CD4DE,not first visit,2024-12-12 09:45:24.893504,control,nah,0.0,2024-12-12,2024-12-12 09:45:25.693,85-2024-12-12,0.10039861836902092,0.5387515985537498,0.348167725009055,0.03094505938691185,0.89,0.34433992546471165,-0.4131572483639767,0.887,0.461,0.0188885086576479,0.75,bluti,M,5,1,0.0,1
42,3B004CD4DE,not first visit,2024-12-12 09:46:07.102189,control,nah,0.0,2024-12-12,2024-12-12 09:46:07.691,87-2024-12-12,0.09763413872703418,0.5058019564624341,0.42289749602266735,0.026179419002131266,2.99,0.41876255748129987,-0.26611238895664485,2.988,2.497,0.018194653971061365,2.597,bluti,M,5,1,0.0,0
43,3B00192E1E,not first visit,2024-12-12 09:47:08.180630,control,nah,0.0,2024-12-12,2024-12-12 09:47:09.692,88-2024-12-12,0.09870107469265384,0.45147033833849587,0.3503863427238898,0.044039472219521106,1.48,0.34845377271704553,-0.2868929900997805,1.479,0.823,0.04940369721742107,1.466,bluti,M,6,1,0.0,0
44,3B00192E1E,not first visit,2024-12-12 09:48:30.785501,control,nah,0.0,2024-12-12,2024-12-12 09:48:31.694,89-2024-12-12,0.0966401887879415,0.4446498361874369,0.3448133367799137,0.024597817523198923,1.661,0.3415432213381186,-0.2847116974631952,1.659,1.259,0.038548874968457755,1.639,bluti,M,6,1,0.0,0
45,3B00192E1E,not first visit,2024-12-12 09:49:21.019420,control,nah,0.0,2024-12-12,2024-12-12 09:49:22.693,90-2024-12-12,0.10075251587527521,0.4812004268530295,0.349159557347676,0.022037542636864225,0.617,0.34759939839426585,-0.3307132631480374,0.615,0.248,0.040808402562697486,0.612,bluti,M,6,1,0.0,1
46,3B0018C2F6,not first visit,2024-12-12 09:50:12.485007,control,nah,0.0,2024-12-12,2024-12-12 09:50:13.695,93-2024-12-12,0.1667305440480093,1.0123883952660562,0.786426571219191,0.0376414057285464,2.561,0.7841138663247632,-0.5693261099177571,2.56,2.059,0.022922966971669543,0.895,greti,F,6,1,0.0,0
47,01103F97C4,not first visit,2024-12-12 09:52:33.956753,control,nah,0.0,2024-12-12,2024-12-12 09:52:34.696,94-2024-12-12,0.18306894265391516,0.7519279697631991,0.5672804489904838,0.08190180932409115,0.807,0.5615032810715955,-0.4700689871746518,0.805,0.061,0.17359624308506735,0.784,greti,M ,5,1,0.0,1
48,3B0018A99B,not first visit,2024-12-12 09:54:59.596167,control,nah,0.0,2024-12-12,2024-12-12 09:55:00.698,95-2024-12-12,0.09241590215455404,0.28608296962267166,0.23042335691267288,0.03325706498374268,4.829,0.22911211322525743,-0.1600328996906138,4.828,3.914,0.06632564709950184,4.832,bluti,M,5,1,0.0,0
49,3B0018A99B,not first visit,2024-12-12 09:56:59.345998,control,nah,0.0,2024-12-12,2024-12-12 09:57:00.698,96-2024-12-12,0.0957532417517765,0.3100069922654311,0.26660817475677306,0.007423685567355313,0.49,0.26534057863387905,-0.15884799579226638,0.489,0.515,0.03134685039210599,0.495,bluti,M,5,1,0.0,1
50,3B0018A99B,not first visit,2024-12-12 09:57:21.001566,control,nah,0.0,2024-12-12,2024-12-12 09:57:22.699,98-2024-12-12,0.0957532417517765,0.11672384987252764,0.11628312507032437,0.00899051285766457,1.085,0.11628312507032437,0.008014799324090533,1.085,1.075,0.021213199007068393,0.651,bluti,M,5,1,0.0,1
51,3B0018A99B,not first visit,2024-12-12 10:03:13.442159,control,nah,0.0,2024-12-12,2024-12-12 10:03:14.704,100-2024-12-12,0.09457048032806029,0.1369717603608802,0.1354009335783786,0.025414063003272844,0.911,0.1354009335783786,0.020499747886108192,0.911,0.918,0.022550532308191942,0.894,bluti,M,5,1,0.0,0
52,3B00199DE5,not first visit,2024-12-12 10:04:23.244201,control,nah,0.0,2024-12-12,2024-12-12 10:04:24.703,102-2024-12-12,0.10563145952466096,0.6250160714993396,0.4379063457402127,0.018631163355065358,0.502,0.4379063457402127,-0.4353020268407352,0.502,0.07,0.03184480097386721,0.477,bluti,M,5,1,0.0,1
